domain,category,why
aircall.io,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
camunda.com,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
channable.com,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
channelscaler.com,partner_tech_vendor,caught by the category guard before promotion
chef.io,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
crossbeam.com,partner_tech_vendor,caught by the category guard before promotion
expo-e.uk,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
factorialhr.com,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
firstcomeurope.co.uk,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
kiflo.com,partner_tech_vendor,caught by the category guard before promotion
magentrix.com,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
magentrix.com,uses_competitor_prm,"runs Magentrix — displacement evidence, not a false positive, recorded for completeness"
magentrix.com,partner_tech_vendor,caught by the category guard before promotion
oneflow.com,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
sana-commerce.com,generic_partner_language,tier evidence measured 67% navigation-menu across the audited sample
trengo.com,uses_competitor_prm,"runs Kiflo — displacement evidence, not a false positive, recorded for completeness"
3mdeutschland.de,integration_or_finder_not_programme,"robotics integrator FINDER recorded as an established partner motion (manual research, Part 22)"
mews.com,integration_ecosystem,integration marketplace read as partner motion (25 Aug audit)
